name,BRI,gri,g'r'i'
PTF12gty,False,True,False
SDSS-II SN 14857,False,False,True
SN2003kc,True,False,False
SDSS-II SN 19743,False,False,True
SDSS-II SN 11119,False,False,True
SDSS-II SN 16033,False,False,True
SDSS-II SN 9884,False,False,True
SDSS-II SN 17576,False,False,True
SDSS-II SN 9964,False,False,True
SDSS-II SN 17837,False,False,True
SN2006nd,False,False,True
SDSS-II SN 21874,False,False,True
SN2004A,True,False,False
SDSS-II SN 1982,False,False,True
SNLS-05D3jb,False,True,False
SDSS-II SN 19537,False,False,True
SDSS-II SN 14340,False,False,True
SDSS-II SN 17130,False,False,True
SN2005ay,True,False,False
SDSS-II SN 1513,False,False,True
SNLS-03D3ay,False,True,False
SDSS-II SN 10672,False,False,True
SDSS-II SN 18990,False,False,True
SN2007qd,False,False,True
SDSS-II SN 13590,False,False,True
SDSS-II SN 18775,False,False,True
SDSS-II SN 1048,False,False,True
SN2000ca,True,False,False
DES17C3eg,False,True,False
PS15cge,False,True,False
SDSS-II SN 2106,False,False,True
SN2008es,True,False,False
SDSS-II SN 20506,False,False,True
SDSS-II SN 14374,False,False,True
SN2016hvl,False,True,False
iPTF15esb,False,True,False
SDSS-II SN 18008,False,False,True
SDSS-II SN 15029,False,False,True
SDSS-II SN 7491,False,False,True
SN1992A,True,False,False
SDSS-II SN 1767,False,False,True
SDSS-II SN 14303,False,False,True
SNLS-04D4dm,False,True,False
SN1999gd,True,False,False
SN1994Y,True,False,False
SDSS-II SN 18276,False,False,True
SDSS-II SN 1391,False,False,True
SDSS-II SN 7479,False,False,True
SDSS-II SN 3937,False,False,True
SDSS-II SN 17895,False,False,True
SDSS-II SN 14863,False,False,True
SDSS-II SN 19793,False,False,True
SDSS-II SN 19309,False,False,True
SDSS-II SN 17644,False,False,True
SDSS-II SN 15916,False,False,True
SN1991G,True,False,False
SNLS-04D1ff,False,True,False
SDSS-II SN 6469,False,False,True
SDSS-II SN 20187,False,False,True
SDSS-II SN 2760,False,False,True
SN2005fp,False,False,True
SN2016bmc,False,True,False
SDSS-II SN 3019,False,False,True
SN2007pc,False,False,True
SDSS-II SN 17897,False,False,True
SDSS-II SN 21452,False,False,True
SN2006mt,False,False,True
SN2006fq,False,False,True
SDSS-II SN 9634,False,False,True
SDSS-II SN 19098,False,False,True
SDSS-II SN 14065,False,False,True
SN2008hv,False,True,False
SDSS-II SN 18083,False,False,True
SDSS-II SN 16982,False,False,True
SDSS-II SN 19195,False,False,True
SDSS-II SN 20546,False,False,True
SDSS-II SN 14419,False,False,True
SDSS-II SN 1327,False,False,True
SDSS-II SN 15992,False,False,True
SDSS-II SN 1497,False,False,True
ASASSN-14az,False,True,False
SDSS-II SN 14844,False,False,True
SDSS-II SN 14964,False,False,True
SDSS-II SN 14784,False,False,True
SDSS-II SN 20969,False,False,True
SDSS-II SN 20552,False,False,True
SNLS-04D1si,False,True,False
SN1994S,True,False,False
SN2003iq,True,False,False
SN2005ig,False,False,True
SN2002cu,True,False,False
SN2000dj,True,False,False
SDSS-II SN 20928,False,False,True
SDSS-II SN 1500,False,False,True
SDSS-II SN 3123,False,False,True
SDSS-II SN 21360,False,False,True
SDSS-II SN 2569,False,False,True
SDSS-II SN 1845,False,False,True
SDSS-II SN 8457,False,False,True
SN2007kz,False,False,True
SDSS-II SN 8784,False,False,True
SN1994T,True,False,False
SDSS-II SN 19047,False,False,True
Gaia14abh,False,True,False
SDSS-II SN 18341,False,False,True
SDSS-II SN 1765,False,False,True
SNLS-05D3la,False,True,False
SN2006gk,False,False,True
SDSS-II SN 19135,False,False,True
SN2005kt,False,False,True
SDSS-II SN 15381,False,False,True
SDSS-II SN 19068,False,False,True
SN2005ka,False,False,True
SDSS-II SN 20296,False,False,True
SDSS-II SN 1978,False,False,True
SDSS-II SN 14819,False,False,True
SDSS-II SN 14562,False,False,True
SN2006sv,False,False,True
SN2005jo,False,False,True
SN2017ln,False,True,False
SDSS-II SN 6877,False,False,True
SN2007lm,False,False,True
SDSS-II SN 7919,False,False,True
SDSS-II SN 3935,False,False,True
SDSS-II SN 19152,False,False,True
SN2007lb,False,False,True
SN2005lm,False,False,True
SDSS-II SN 5001,False,False,True
SDSS-II SN 18252,False,False,True
DES17C2ou,False,True,False
SDSS-II SN 9557,False,False,True
SDSS-II SN 2808,False,False,True
SDSS-II SN 14013,False,False,True
SDSS-II SN 20649,False,False,True
SDSS-II SN 18450,False,False,True
SN2016bew,False,True,False
SDSS-II SN 20719,False,False,True
SDSS-II SN 18705,False,False,True
LSQ11bk,False,True,False
SDSS-II SN 2355,False,False,True
SDSS-II SN 17820,False,False,True
SDSS-II SN 19494,False,False,True
SDSS-II SN 20696,False,False,True
SN1999by,True,False,False
SDSS-II SN 5363,False,False,True
SDSS-II SN 21739,False,False,True
SN2006ho,False,False,True
SDSS-II SN 821,False,False,True
SNLS-03D4gl,False,True,False
SN2010et,False,True,False
SDSS-II SN 6691,False,False,True
SN2001gb,True,False,False
SDSS-II SN 20264,False,False,True
SDSS-II SN 20265,False,False,True
SDSS-II SN 21129,False,False,True
SDSS-II SN 15063,False,False,True
SN2007ml,False,False,True
SN2016alt,False,True,False
SN2007kp,False,False,True
SDSS-II SN 14652,False,False,True
SN2016etf,False,True,False
SDSS-II SN 14461,False,False,True
SDSS-II SN 20448,False,False,True
SN2006lf,True,False,False
SDSS-II SN 14309,False,False,True
SDSS-II SN 17810,False,False,True
SDSS-II SN 16050,False,False,True
SDSS-II SN 6675,False,False,True
SDSS-II SN 14654,False,False,True
SDSS-II SN 15895,False,False,True
SDSS-II SN 13131,False,False,True
SDSS-II SN 16945,False,False,True
SDSS-II SN 18096,False,False,True
SDSS-II SN 21722,False,False,True
SDSS-II SN 17667,False,False,True
SDSS-II SN 3709,False,False,True
SDSS-II SN 13491,False,False,True
AT2016cyn,True,False,False
SN2006gh,False,False,True
SDSS-II SN 6121,False,False,True
SDSS-II SN 14960,False,False,True
SDSS-II SN 15959,False,False,True
SDSS-II SN 7500,False,False,True
SDSS-II SN 2081,False,False,True
SDSS-II SN 16288,False,False,True
SN2007qn,False,False,True
SDSS-II SN 4086,False,False,True
SDSS-II SN 12947,False,False,True
SDSS-II SN 15973,False,False,True
SDSS-II SN 21319,False,False,True
SDSS-II SN 20316,False,False,True
SN2003ae,True,False,False
SNLS-05D3ha,False,True,False
SN2006px,False,False,True
SDSS-II SN 14845,False,False,True
SDSS-II SN 15829,False,False,True
SN2000cx,True,False,False
SNLS-03D4gf,False,True,False
SN2006fb,False,False,True
SNLS-06D3dt,False,True,False
SDSS-II SN 16356,False,False,True
SN1997dt,True,False,False
SN2016aqa,False,True,False
SDSS-II SN 5348,False,False,True
Gaia15agj,False,True,False
SDSS-II SN 14322,False,False,True
SDSS-II SN 15614,False,False,True
SDSS-II SN 18954,False,False,True
SDSS-II SN 13908,False,False,True
SDSS-II SN 7986,False,False,True
SDSS-II SN 1489,False,False,True
SDSS-II SN 14829,False,False,True
SDSS-II SN 7484,False,False,True
SDSS-II SN 10566,False,False,True
SDSS-II SN 15401,False,False,True
ASASSN-14hk,False,True,False
SDSS-II SN 7884,False,False,True
SN2008aq,False,True,False
SDSS-II SN 7350,False,False,True
SDSS-II SN 2059,False,False,True
SDSS-II SN 3312,False,False,True
SDSS-II SN 7736,False,False,True
SDSS-II SN 15524,False,False,True
SDSS-II SN 18253,False,False,True
SDSS-II SN 8062,False,False,True
iPTF13ebh,False,True,False
SN2006jx,False,False,True
SN2005am,True,True,False
SDSS-II SN 4968,False,False,True
SDSS-II SN 11370,False,False,True
SDSS-II SN 17621,False,False,True
SDSS-II SN 11540,False,False,True
SDSS-II SN 764,False,False,True
SDSS-II SN 5114,False,False,True
SDSS-II SN 5591,False,False,True
SDSS-II SN 5141,False,False,True
SDSS-II SN 18459,False,False,True
SDSS-II SN 16976,False,False,True
SDSS-II SN 19584,False,False,True
SDSS-II SN 13820,False,False,True
SNLS-05D4bm,False,True,False
SDSS-II SN 14752,False,False,True
SDSS-II SN 16652,False,False,True
SN2006nx,False,False,True
SDSS-II SN 19198,False,False,True
SDSS-II SN 18606,False,False,True
SDSS-II SN 8034,False,False,True
SDSS-II SN 15955,False,False,True
SDSS-II SN 20886,False,False,True
SDSS-II SN 20920,False,False,True
SN2005cs,True,False,False
SDSS-II SN 15750,False,False,True
SN2006qe,False,False,True
SDSS-II SN 15737,False,False,True
SDSS-II SN 18101,False,False,True
SN2007nx,False,False,True
SDSS-II SN 3780,False,False,True
SN2016htn,False,True,False
SDSS-II SN 3065,False,False,True
SN2007ns,False,False,True
SDSS-II SN 2651,False,False,True
SDSS-II SN 20092,False,False,True
SDSS-II SN 15718,False,False,True
SDSS-II SN 21482,False,False,True
SDSS-II SN 15198,False,False,True
SDSS-II SN 5535,False,False,True
SDSS-II SN 19022,False,False,True
SN1991S,True,False,False
SDSS-II SN 8705,False,False,True
SDSS-II SN 5280,False,False,True
SDSS-II SN 19597,False,False,True
SN2002ef,True,False,False
SDSS-II SN 18653,False,False,True
SDSS-II SN 18228,False,False,True
SDSS-II SN 18405,False,False,True
SDSS-II SN 6065,False,False,True
SN2006nl,False,False,True
SDSS-II SN 7289,False,False,True
SDSS-II SN 14946,False,False,True
SN2003ai,True,False,False
PS1-11cn,False,True,False
SN1995ad,True,False,False
SDSS-II SN 14332,False,False,True
SDSS-II SN 13897,False,False,True
SDSS-II SN 18950,False,False,True
SDSS-II SN 15950,False,False,True
SN2007qj,False,False,True
SDSS-II SN 16849,False,False,True
SDSS-II SN 19787,False,False,True
SDSS-II SN 9562,False,False,True
SDSS-II SN 18943,False,False,True
PTF09atu,False,True,False
SNLS-05D2bt,False,True,False
SDSS-II SN 9594,False,False,True
SDSS-II SN 15934,False,False,True
SDSS-II SN 9739,False,False,True
SDSS-II SN 13703,False,False,True
SDSS-II SN 15590,False,False,True
SN2006ni,False,False,True
SNLS-05D1cc,False,True,False
SDSS-II SN 1210,False,False,True
SDSS-II SN 18161,False,False,True
SNLS-03D1ew,False,True,False
ASASSN-15kx,False,True,False
SDSS-II SN 15987,False,False,True
SDSS-II SN 17859,False,False,True
SDSS-II SN 10460,False,False,True
SDSS-II SN 21071,False,False,True
SN2006kv,False,False,True
SN2005de,True,False,False
SN2006hh,False,False,True
SNLS-04D2an,False,True,False
SDSS-II SN 8730,False,False,True
ASASSN-15sf,False,True,False
SN2006eq,False,True,True
SN2016cqt,False,True,False
SDSS-II SN 15185,False,False,True
SDSS-II SN 7281,False,False,True
SDSS-II SN 14162,False,False,True
SN2005ic,False,False,True
SNLS-04D3lp,False,True,False
SN2005el,True,True,False
SDSS-II SN 13395,False,False,True
SDSS-II SN 7099,False,False,True
SN2006er,False,False,True
SN2007kw,False,False,True
SDSS-II SN 9324,False,False,True
SN2006jd,False,True,False
SDSS-II SN 5897,False,False,True
SDSS-II SN 13168,False,False,True
SNLS-05D3jk,False,True,False
SDSS-II SN 15745,False,False,True
SN1997br,True,False,False
SDSS-II SN 11314,False,False,True
PS1-10cad,False,True,False
D3-13,False,True,False
SDSS-II SN 19758,False,False,True
SDSS-II SN 21761,False,False,True
SDSS-II SN 6502,False,False,True
SDSS-II SN 17337,False,False,True
SDSS-II SN 3400,False,False,True
SDSS-II SN 20216,False,False,True
Gaia16aho,False,True,False
SDSS-II SN 21474,False,False,True
SDSS-II SN 21035,False,False,True
SDSS-II SN 17869,False,False,True
SDSS-II SN 3527,False,False,True
SDSS-II SN 19103,False,False,True
SDSS-II SN 7404,False,False,True
SDSS-II SN 4512,False,False,True
SDSS-II SN 20323,False,False,True
SN1997cw,True,False,False
PS1-11bh,False,True,False
SN2006lj,False,False,True
SDSS-II SN 13507,False,False,True
SN2009dc,True,True,False
SDSS-II SN 7594,False,False,True
SDSS-II SN 19723,False,False,True
SDSS-II SN 5732,False,False,True
SDSS-II SN 18769,False,False,True
SDSS-II SN 14639,False,False,True
SN2016aqt,False,True,False
SDSS-II SN 16888,False,False,True
SDSS-II SN 17949,False,False,True
PSN J01534240+2956107,False,True,False
SDSS-II SN 19232,False,False,True
SDSS-II SN 4110,False,False,True
SDSS-II SN 1576,False,False,True
SDSS-II SN 4891,False,False,True
SN2007iz,False,False,True
SDSS-II SN 20536,False,False,True
SDSS-II SN 16123,False,False,True
SDSS-II SN 9421,False,False,True
SDSS-II SN 7656,False,False,True
SDSS-II SN 15988,False,False,True
SDSS-II SN 21716,False,False,True
SDSS-II SN 13149,False,False,True
PS1-11sk,False,True,False
SDSS-II SN 10238,False,False,True
SN2007pg,False,False,True
SDSS-II SN 13943,False,False,True
SN2007rr,False,False,True
SDSS-II SN 19700,False,False,True
SDSS-II SN 13942,False,False,True
SDSS-II SN 2595,False,False,True
SN2009dd,True,False,False
SDSS-II SN 735,False,False,True
SN2016gkt,False,True,False
CSS130912:025702-001844,False,True,False
SN2005ga,False,False,True
Gaia16arj,True,False,False
SN2003bg,True,False,False
SDSS-II SN 14070,False,False,True
SDSS-II SN 8297,False,False,True
SDSS-II SN 4059,False,False,True
SDSS-II SN 14329,False,False,True
SDSS-II SN 18367,False,False,True
SDSS-II SN 15677,False,False,True
SDSS-II SN 17421,False,False,True
SN2007kt,False,False,True
SDSS-II SN 15533,False,False,True
SDSS-II SN 20293,False,False,True
SDSS-II SN 18047,False,False,True
SDSS-II SN 9566,False,False,True
SDSS-II SN 5487,False,False,True
SDSS-II SN 7857,False,False,True
PTF09ge,False,True,False
SN2002bf,True,False,False
SDSS-II SN 13998,False,False,True
SN2009F,False,True,False
SDSS-II SN 8303,False,False,True
SDSS-II SN 15392,False,False,True
SDSS-II SN 13361,False,False,True
SDSS-II SN 21402,False,False,True
SN2001bf,True,False,False
SDSS-II SN 7954,False,False,True
SN2004bw,True,False,False
SDSS-II SN 20133,False,False,True
SDSS-II SN 17803,False,False,True
SN2007pi,False,False,True
SN2010fm,False,True,False
SDSS-II SN 15251,False,False,True
SDSS-II SN 21387,False,False,True
SDSS-II SN 18821,False,False,True
SN1999cp,True,False,False
SNLS-05D4fg,False,True,False
SDSS-II SN 14545,False,False,True
SDSS-II SN 20396,False,False,True
SN2016ys,False,True,False
PTF10uhf,False,True,False
SDSS-II SN 20045,False,False,True
SDSS-II SN 18269,False,False,True
SDSS-II SN 5383,False,False,True
SDSS-II SN 7024,False,False,True
SNLS-03D4gg,False,True,False
SDSS-II SN 1660,False,False,True
SDSS-II SN 14763,False,False,True
SDSS-II SN 983,False,False,True
SN2016K,False,True,False
SDSS-II SN 19942,False,False,True
SN2016dri,False,True,False
SDSS-II SN 20405,False,False,True
SDSS-II SN 5669,False,False,True
SDSS-II SN 9641,False,False,True
SDSS-II SN 14426,False,False,True
SN2006fo,False,True,True
SDSS-II SN 16091,False,False,True
SNLS-03D1fc,False,True,False
SDSS-II SN 20326,False,False,True
SN2012il,False,True,False
SDSS-II SN 2864,False,False,True
SDSS-II SN 12024,False,False,True
SN1993ae,True,False,False
SDSS-II SN 6275,False,False,True
SN2006pq,False,False,True
SDSS-II SN 18127,False,False,True
Gaia16ato,True,False,False
SDSS-II SN 11541,False,False,True
SNLS-04D1kj,False,True,False
SN2013ai,False,True,False
SDSS-II SN 20740,False,False,True
SDSS-II SN 1282,False,False,True
SN2001ep,True,False,False
SN2007gr,True,False,False
SN2012dn,True,False,False
SDSS-II SN 15803,False,False,True
SDSS-II SN 14916,False,False,True
SDSS-II SN 21383,False,False,True
SDSS-II SN 19055,False,False,True
SDSS-II SN 3533,False,False,True
SDSS-II SN 14587,False,False,True
SNLS-04D1pj,False,True,False
SDSS-II SN 5959,False,False,True
SDSS-II SN 8588,False,False,True
SDSS-II SN 15500,False,False,True
SDSS-II SN 5702,False,False,True
SDSS-II SN 20605,False,False,True
SDSS-II SN 15629,False,False,True
SDSS-II SN 19200,False,False,True
SDSS-II SN 21373,False,False,True
SDSS-II SN 15052,False,False,True
SDSS-II SN 21484,False,False,True
SN2006hk,False,False,True
SDSS-II SN 17740,False,False,True
SDSS-II SN 20971,False,False,True
SN1999ee,True,False,False
SNLS-05D2ei,False,True,False
SN2006pu,False,False,True
SDSS-II SN 2182,False,False,True
SDSS-II SN 16708,False,False,True
SDSS-II SN 7525,False,False,True
SN2002gw,True,False,False
SN2003kf,True,False,False
SNLS-06D2ez,False,True,False
SDSS-II SN 16234,False,False,True
SDSS-II SN 12804,False,False,True
SDSS-II SN 13123,False,False,True
SDSS-II SN 13732,False,False,True
SDSS-II SN 21356,False,False,True
SN2000cw,True,False,False
SN2007qa,False,False,True
SDSS-II SN 14172,False,False,True
SDSS-II SN 19034,False,False,True
SN2000cp,True,False,False
SDSS-II SN 15927,False,False,True
SDSS-II SN 9317,False,False,True
SDSS-II SN 21327,False,False,True
SN1998dx,True,False,False
SDSS-II SN 14760,False,False,True
SDSS-II SN 13741,False,False,True
SDSS-II SN 7663,False,False,True
SDSS-II SN 15385,False,False,True
SN2016aew,False,True,False
SDSS-II SN 13780,False,False,True
SDSS-II SN 13843,False,False,True
SDSS-II SN 20295,False,False,True
SNLS-04D4fx,False,True,False
SDSS-II SN 5050,False,False,True
SN2006jw,False,False,True
SDSS-II SN 11306,False,False,True
SDSS-II SN 21475,False,False,True
SDSS-II SN 18150,False,False,True
SDSS-II SN 20498,False,False,True
SDSS-II SN 4969,False,False,True
SN2016arc,False,True,False
SDSS-II SN 19438,False,False,True
SDSS-II SN 18208,False,False,True
SN1999bh,True,False,False
SN2002de,True,False,False
SDSS-II SN 6075,False,False,True
SDSS-II SN 20818,False,False,True
SDSS-II SN 18584,False,False,True
SDSS-II SN 14914,False,False,True
SDSS-II SN 13391,False,False,True
SN2016afb,False,True,False
iPTF16axa,False,True,False
SDSS-II SN 21023,False,False,True
SDSS-II SN 11549,False,False,True
SNLS-05D2le,False,True,False
SDSS-II SN 4229,False,False,True
SDSS-II SN 17733,False,False,True
SN2017cts,False,True,False
SDSS-II SN 21359,False,False,True
Gaia15aav,False,True,False
SDSS-II SN 2575,False,False,True
SNLS-04D3nc,False,True,False
SN2004bd,True,False,False
SDSS-II SN 16468,False,False,True
SDSS-II SN 4572,False,False,True
SN2007pn,False,False,True
SN2005ge,False,False,True
SDSS-II SN 19764,False,False,True
SDSS-II SN 2784,False,False,True
SDSS-II SN 2746,False,False,True
SDSS-II SN 13553,False,False,True
SDSS-II SN 15108,False,False,True
SDSS-II SN 15187,False,False,True
SDSS-II SN 14710,False,False,True
SDSS-II SN 14414,False,False,True
SDSS-II SN 6861,False,False,True
SN2007jz,False,False,True
SDSS-II SN 13774,False,False,True
SN1999gi,True,False,False
SDSS-II SN 21364,False,False,True
DES17C3arf,False,True,False
SDSS-II SN 15721,False,False,True
SDSS-II SN 11093,False,False,True
SN2007pf,False,False,True
SN2006ob,False,True,True
SDSS-II SN 20545,False,False,True
SDSS-II SN 13252,False,False,True
SDSS-II SN 11241,False,False,True
SNLS-04D3gx,False,True,False
SDSS-II SN 14909,False,False,True
SDSS-II SN 16431,False,False,True
SDSS-II SN 8755,False,False,True
SDSS-II SN 21601,False,False,True
SDSS-II SN 8672,False,False,True
SN2006of,False,False,True
SDSS-II SN 14057,False,False,True
SDSS-II SN 19724,False,False,True
SDSS-II SN 20990,False,False,True
SDSS-II SN 13452,False,False,True
SDSS-II SN 2350,False,False,True
SN1998A,True,False,False
SDSS-II SN 18413,False,False,True
PS15adh,False,True,False
SDSS-II SN 17872,False,False,True
SDSS-II SN 7983,False,False,True
SN2015bn,True,False,True
SDSS-II SN 8663,False,False,True
SDSS-II SN 16039,False,False,True
SDSS-II SN 14067,False,False,True
SDSS-II SN 19306,False,False,True
SN2007O,True,False,False
SDSS-II SN 19449,False,False,True
SDSS-II SN 14963,False,False,True
SDSS-II SN 13497,False,False,True
SDSS-II SN 19192,False,False,True
SDSS-II SN 2335,False,False,True
SDSS-II SN 19109,False,False,True
SNLS-06D4bo,False,True,False
SDSS-II SN 18430,False,False,True
SN2005al,False,True,False
SDSS-II SN 4211,False,False,True
SDSS-II SN 18168,False,False,True
SDSS-II SN 14017,False,False,True
SDSS-II SN 4557,False,False,True
SDSS-II SN 13413,False,False,True
SDSS-II SN 18058,False,False,True
SDSS-II SN 18107,False,False,True
SDSS-II SN 12077,False,False,True
SDSS-II SN 18130,False,False,True
SDSS-II SN 16052,False,False,True
SPIRITS 14buu,False,True,False
SDSS-II SN 3683,False,False,True
SDSS-II SN 15363,False,False,True
SN2006pr,False,False,True
PS1-11mz,False,True,False
SDSS-II SN 20320,False,False,True
SDSS-II SN 13786,False,False,True
SDSS-II SN 16477,False,False,True
SDSS-II SN 15418,False,False,True
SNLS-04D4id,False,True,False
SDSS-II SN 13787,False,False,True
SN2007mg,False,False,True
SDSS-II SN 15465,False,False,True
SN2003gt,True,False,False
SN1995ac,True,False,False
SDSS-II SN 17465,False,False,True
SDSS-II SN 16142,False,False,True
PS1-10bmk,False,True,False
PS1-11iv,False,True,False
SDSS-II SN 20695,False,False,True
SDSS-II SN 20935,False,False,True
SDSS-II SN 19791,False,False,True
SDSS-II SN 3957,False,False,True
SDSS-II SN 14346,False,False,True
SDSS-II SN 19417,False,False,True
SDSS-II SN 20408,False,False,True
SDSS-II SN 4338,False,False,True
SDSS-II SN 18993,False,False,True
SDSS-II SN 14139,False,False,True
SDSS-II SN 16098,False,False,True
SN2005Q,False,True,False
SDSS-II SN 18999,False,False,True
SDSS-II SN 14183,False,False,True
SN2007lf,False,False,True
SDSS-II SN 18478,False,False,True
SDSS-II SN 15807,False,False,True
SDSS-II SN 5873,False,False,True
PTF13cjq,False,True,False
SDSS-II SN 4803,False,False,True
PS1-11fi,False,True,False
SN2005ez,False,False,True
SDSS-II SN 20566,False,False,True
SDSS-II SN 21183,False,False,True
SDSS-II SN 15805,False,False,True
SDSS-II SN 13941,False,False,True
SN2006nh,False,False,True
SDSS-II SN 1367,False,False,True
SNLS-05D3hs,False,True,False
SDSS-II SN 16169,False,False,True
SDSS-II SN 6813,False,False,True
SDSS-II SN 18254,False,False,True
SDSS-II SN 16467,False,False,True
SN1995bd,True,False,False
SDSS-II SN 21469,False,False,True
SN2007jv,False,False,True
SDSS-II SN 17429,False,False,True
SN2007qp,False,False,True
SDSS-II SN 10036,False,False,True
SDSS-II SN 17393,False,False,True
SN2001fa,True,False,False
SN2008ia,False,True,False
SDSS-II SN 4912,False,False,True
SNLS-05D2he,False,True,False
SN2006op,False,False,True
SDSS-II SN 17915,False,False,True
SDSS-II SN 19527,False,False,True
SDSS-II SN 14029,False,False,True
SDSS-II SN 21663,False,False,True
SN1998de,True,False,False
SDSS-II SN 1536,False,False,True
SN2005fr,False,False,True
SDSS-II SN 12895,False,False,True
SDSS-II SN 19274,False,False,True
SDSS-II SN 5498,False,False,True
SN2016drl,False,True,False
SDSS-II SN 17945,False,False,True
SDSS-II SN 13644,False,False,True
PS1-14jb,False,True,False
SNLS-04D1oh,False,True,False
SNLS-06D2gb,False,True,False
SDSS-II SN 3206,False,False,True
PS1-13bmf,False,True,False
SN2006lk,False,False,True
SDSS-II SN 19186,False,False,True
SDSS-II SN 18077,False,False,True
SDSS-II SN 9595,False,False,True
SDSS-II SN 5320,False,False,True
SN2001ex,True,False,False
SDSS-II SN 15965,False,False,True
PTF12mxx,False,True,False
SDSS-II SN 20901,False,False,True
SDSS-II SN 8576,False,False,True
SDSS-II SN 19066,False,False,True
SDSS-II SN 18803,False,False,True
SDSS-II SN 4547,False,False,True
SDSS-II SN 15592,False,False,True
SN2001ez,True,False,False
SDSS-II SN 9652,False,False,True
SDSS-II SN 13681,False,False,True
SDSS-II SN 8823,False,False,True
SDSS-II SN 20685,False,False,True
SDSS-II SN 14009,False,False,True
SDSS-II SN 19400,False,False,True
SDSS-II SN 14876,False,False,True
SDSS-II SN 13913,False,False,True
SN2006nj,False,False,True
Gaia17bol,False,True,False
SDSS-II SN 15755,False,False,True
SDSS-II SN 20307,False,False,True
SDSS-II SN 18092,False,False,True
SDSS-II SN 6151,False,False,True
SN2016aqs,False,True,False
SDSS-II SN 21326,False,False,True
SDSS-II SN 15939,False,False,True
SDSS-II SN 15814,False,False,True
SN2006ng,False,False,True
SDSS-II SN 13923,False,False,True
SDSS-II SN 17827,False,False,True
SDSS-II SN 18334,False,False,True
SDSS-II SN 19013,False,False,True
SDSS-II SN 12119,False,False,True
SDSS-II SN 14423,False,False,True
SDSS-II SN 11518,False,False,True
SN2005lo,False,False,True
SDSS-II SN 20501,False,False,True
SN2010B,True,False,False
SDSS-II SN 20526,False,False,True
SN2005W,False,True,False
SN2006ln,False,False,True
SDSS-II SN 14713,False,False,True
SNLS-05D3gy,False,True,False
SDSS-II SN 7913,False,False,True
SNLS-06D3em,False,True,False
SNLS-05D1iz,False,True,False
SN2005mp,False,False,True
SDSS-II SN 13868,False,False,True
SDSS-II SN 18941,False,False,True
SDSS-II SN 14907,False,False,True
SDSS-II SN 19636,False,False,True
SDSS-II SN 14514,False,False,True
SDSS-II SN 18664,False,False,True
SDSS-II SN 20858,False,False,True
SN2005bx,True,False,False
SDSS-II SN 18964,False,False,True
SDSS-II SN 1722,False,False,True
SDSS-II SN 14095,False,False,True
SDSS-II SN 7039,False,False,True
SDSS-II SN 18898,False,False,True
SDSS-II SN 18142,False,False,True
SDSS-II SN 7234,False,False,True
SDSS-II SN 15050,False,False,True
SDSS-II SN 13767,False,False,True
SDSS-II SN 5303,False,False,True
SDSS-II SN 19781,False,False,True
SDSS-II SN 20628,False,False,True
SN2006hz,False,False,True
SNLS-04D1ks,False,True,False
SDSS-II SN 19685,False,False,True
SDSS-II SN 8454,False,False,True
SDSS-II SN 20558,False,False,True
SDSS-II SN 7406,False,False,True
SDSS-II SN 16455,False,False,True
SDSS-II SN 14756,False,False,True
SDSS-II SN 14893,False,False,True
SDSS-II SN 19683,False,False,True
SN2016gou,False,True,False
SN1999el,True,False,False
SDSS-II SN 16867,False,False,True
SN2006qm,False,False,True
SDSS-II SN 14635,False,False,True
SDSS-II SN 20728,False,False,True
SDSS-II SN 14644,False,False,True
SDSS-II SN 14372,False,False,True
SDSS-II SN 17955,False,False,True
SDSS-II SN 4966,False,False,True
SN2007ht,False,False,True
SNLS-06D3cb,False,True,False
SN2007jo,False,False,True
SN2005ia,False,False,True
SN2007oe,False,False,True
SDSS-II SN 19358,False,False,True
SDSS-II SN 14978,False,False,True
SDSS-II SN 4610,False,False,True
SN2008J,False,False,True
SN2006pp,False,False,True
SN2017dz,False,True,False
SDSS-II SN 21668,False,False,True
SDSS-II SN 9453,False,False,True
SDSS-II SN 5470,False,False,True
SDSS-II SN 21405,False,False,True
ASASSN-14kg,False,True,False
SNLS-05D3cq,False,True,False
SN2016ija,False,True,False
SDSS-II SN 17455,False,False,True
SDSS-II SN 13275,False,False,True
SDSS-II SN 16727,False,False,True
SDSS-II SN 8276,False,False,True
SN2007jc,False,False,True
SDSS-II SN 12944,False,False,True
SDSS-II SN 8252,False,False,True
SDSS-II SN 986,False,False,True
SN1999dg,True,False,False
SDSS-II SN 20815,False,False,True
SN2007nv,False,False,True
SDSS-II SN 16048,False,False,True
SDSS-II SN 20500,False,False,True
SDSS-II SN 18011,False,False,True
SDSS-II SN 18309,False,False,True
SDSS-II SN 7051,False,False,True
SDSS-II SN 18587,False,False,True
SDSS-II SN 14382,False,False,True
SDSS-II SN 13565,False,False,True
SDSS-II SN 15192,False,False,True
PS1-10bzj,False,True,False
SN1995al,True,False,False
SDSS-II SN 12308,False,False,True
SN2005hc,False,True,True
SDSS-II SN 3453,False,False,True
SDSS-II SN 13478,False,False,True
SN2002gd,True,False,False
SDSS-II SN 1285,False,False,True
SN2001cn,True,False,False
SDSS-II SN 17613,False,False,True
SN2005fv,False,False,True
SDSS-II SN 15903,False,False,True
SN2006is,False,True,False
SDSS-II SN 17870,False,False,True
