name,BRI,gri,g'r'i'
SDSS-II SN 3293,False,False,True
SDSS-II SN 8216,False,False,True
SDSS-II SN 13871,False,False,True
SNLS-05D3gp,False,True,False
SDSS-II SN 20446,False,False,True
SDSS-II SN 15196,False,False,True
PS15aoq,False,True,False
SN2016ccz,False,True,False
SDSS-II SN 14656,False,False,True
SDSS-II SN 8356,False,False,True
SN2005ho,False,False,True
SDSS-II SN 15759,False,False,True
SDSS-II SN 17849,False,False,True
SDSS-II SN 4942,False,False,True
SDSS-II SN 20212,False,False,True
SN2006lo,False,False,True
SN2011fu,True,False,False
ASASSN-15mi,False,True,False
SDSS-II SN 8165,False,False,True
SDSS-II SN 12840,False,False,True
PS1-10l,False,True,False
SDSS-II SN 8190,False,False,True
SDSS-II SN 1315,False,False,True
SDSS-II SN 15568,False,False,True
SDSS-II SN 18983,False,False,True
SDSS-II SN 15802,False,False,True
SDSS-II SN 13429,False,False,True
SDSS-II SN 18743,False,False,True
SDSS-II SN 13406,False,False,True
SDSS-II SN 20624,False,False,True
SDSS-II SN 5358,False,False,True
SDSS-II SN 16553,False,False,True
SDSS-II SN 15263,False,False,True
SDSS-II SN 2319,False,False,True
SDSS-II SN 19287,False,False,True
SDSS-II SN 17482,False,False,True
SDSS-II SN 6895,False,False,True
SDSS-II SN 21435,False,False,True
SDSS-II SN 17487,False,False,True
SDSS-II SN 21397,False,False,True
SDSS-II SN 18433,False,False,True
SDSS-II SN 19531,False,False,True
SDSS-II SN 18975,False,False,True
SN2002fk,True,False,False
SDSS-II SN 21368,False,False,True
SN2011ay,True,False,False
SDSS-II SN 19124,False,False,True
SDSS-II SN 17703,False,False,True
SN2012fr,True,False,False
SDSS-II SN 15772,False,False,True
SDSS-II SN 19739,False,False,True
SDSS-II SN 15471,False,False,True
SDSS-II SN 20777,False,False,True
SDSS-II SN 14453,False,False,True
SDSS-II SN 5607,False,False,True
SDSS-II SN 19461,False,False,True
SDSS-II SN 18343,False,False,True
SN2016ffh,False,True,False
SN1999gp,True,False,False
SDSS-II SN 17034,False,False,True
SDSS-II SN 21423,False,False,True
SDSS-II SN 16130,False,False,True
SN2005la,True,False,False
SDSS-II SN 21315,False,False,True
SDSS-II SN 15070,False,False,True
SDSS-II SN 20896,False,False,True
ASASSN-15rw,False,True,False
SN2007kx,False,False,True
SDSS-II SN 21564,False,False,True
SDSS-II SN 17683,False,False,True
SN2006jh,False,False,True
SDSS-II SN 7643,False,False,True
PS1-13wr,False,True,False
SDSS-II SN 19456,False,False,True
SDSS-II SN 20801,False,False,True
SN2015bw,False,True,False
PTF10bfz,False,True,False
ASASSN-15sb,False,True,False
SN2017oz,False,True,False
SN2006jz,False,False,True
Gaia15aaf,False,True,False
SNLS-03D4cz,False,True,False
SDSS-II SN 16396,False,False,True
Gaia17aqu,False,True,False
LSQ12dlf,True,False,False
SDSS-II SN 18189,False,False,True
SDSS-II SN 13742,False,False,True
SDSS-II SN 21463,False,False,True
SN2007S,False,True,False
SDSS-II SN 1598,False,False,True
SDSS-II SN 16225,False,False,True
SDSS-II SN 2871,False,False,True
SN2006iy,False,False,True
SDSS-II SN 16245,False,False,True
SDSS-II SN 21370,False,False,True
SDSS-II SN 21607,False,False,True
SNLS-05D2ah,False,True,False
SDSS-II SN 14191,False,False,True
SDSS-II SN 14938,False,False,True
SNLS-05D2bv,False,True,False
SDSS-II SN 20593,False,False,True
SDSS-II SN 17219,False,False,True
SDSS-II SN 6326,False,False,True
SDSS-II SN 4019,False,False,True
SN1998aq,True,False,False
SDSS-II SN 14999,False,False,True
SN2005ht,False,False,True
SDSS-II SN 19284,False,False,True
SDSS-II SN 16148,False,False,True
SDSS-II SN 6987,False,False,True
SN2005jb,False,False,True
SDSS-II SN 1470,False,False,True
SDSS-II SN 14493,False,False,True
SNLS-05D2by,False,True,False
SDSS-II SN 2050,False,False,True
SDSS-II SN 17716,False,False,True
SN2007gt,False,False,True
